shift_id,driver_id,shift_date,shift_start_time,shift_end_time,online_hours
1,754,2026-01-19,2026-01-19 18:44:51,2026-01-20 02:44:51,8
2,925,2026-06-28,2026-06-28 16:29:51,2026-06-29 00:29:51,8
3,869,2026-05-23,2026-05-23 21:07:51,2026-05-24 01:07:51,4
4,439,2025-10-18,2025-10-18 06:34:51,2025-10-18 16:34:51,10
5,938,2025-09-10,2025-09-10 11:51:51,2025-09-10 19:51:51,8
6,987,2025-10-18,2025-10-18 05:40:51,2025-10-18 13:40:51,8
7,143,2026-02-09,2026-02-09 21:56:51,2026-02-10 05:56:51,8
8,847,2026-01-11,2026-01-11 08:17:51,2026-01-11 16:17:51,8
9,203,2026-04-09,2026-04-09 14:59:51,2026-04-09 18:59:51,4
10,921,2026-01-12,2026-01-12 22:31:51,2026-01-13 04:31:51,6
11,518,2025-08-19,2025-08-19 02:52:51,2025-08-19 12:52:51,10
12,450,2025-09-06,2025-09-06 21:14:51,2025-09-07 01:14:51,4
13,478,2026-06-26,2026-06-26 12:53:51,2026-06-26 16:53:51,4
14,762,2025-08-06,2025-08-06 16:45:51,2025-08-07 00:45:51,8
15,367,2026-03-04,2026-03-04 13:36:51,2026-03-05 01:36:51,12
16,895,2025-08-15,2025-08-15 06:15:51,2025-08-15 14:15:51,8
17,677,2026-03-29,2026-03-29 06:20:51,2026-03-29 10:20:51,4
18,403,2026-04-06,2026-04-06 15:57:51,2026-04-06 21:57:51,6
19,493,2025-08-06,2025-08-06 15:22:51,2025-08-07 03:22:51,12
20,495,2026-07-04,2026-07-04 06:21:51,2026-07-04 10:21:51,4
21,469,2026-04-14,2026-04-14 21:01:51,2026-04-15 03:01:51,6
22,875,2025-10-12,2025-10-12 14:00:51,2025-10-13 02:00:51,12
23,435,2026-03-16,2026-03-16 23:34:51,2026-03-17 05:34:51,6
24,703,2026-01-18,2026-01-18 07:19:51,2026-01-18 11:19:51,4
25,464,2025-08-20,2025-08-20 11:41:51,2025-08-20 17:41:51,6
26,152,2025-07-14,2025-07-14 22:29:51,2025-07-15 10:29:51,12
27,731,2026-06-30,2026-06-30 00:24:51,2026-06-30 10:24:51,10
28,637,2026-06-21,2026-06-21 16:41:51,2026-06-22 00:41:51,8
29,55,2025-10-23,2025-10-23 21:47:51,2025-10-24 01:47:51,4
30,636,2026-02-17,2026-02-17 15:02:51,2026-02-17 21:02:51,6
31,312,2025-08-13,2025-08-13 13:00:51,2025-08-13 21:00:51,8
32,439,2026-03-31,2026-03-31 06:48:51,2026-03-31 12:48:51,6
33,774,2025-09-06,2025-09-06 02:17:51,2025-09-06 12:17:51,10
34,787,2026-03-07,2026-03-07 11:24:51,2026-03-07 21:24:51,10
35,56,2026-01-12,2026-01-12 12:31:51,2026-01-12 18:31:51,6
36,287,2026-01-22,2026-01-22 17:54:51,2026-01-23 03:54:51,10
37,675,2026-04-08,2026-04-08 23:22:51,2026-04-09 11:22:51,12
38,691,2025-08-01,2025-08-01 08:03:51,2025-08-01 18:03:51,10
39,907,2026-05-17,2026-05-17 12:43:51,2026-05-17 20:43:51,8
40,634,2025-07-14,2025-07-14 08:02:51,2025-07-14 14:02:51,6
41,383,2026-01-18,2026-01-18 06:09:51,2026-01-18 14:09:51,8
42,40,2026-03-08,2026-03-08 19:33:51,2026-03-09 07:33:51,12
43,159,2025-12-04,2025-12-04 13:00:51,2025-12-05 01:00:51,12
44,760,2026-03-31,2026-03-31 04:06:51,2026-03-31 10:06:51,6
45,547,2026-07-08,2026-07-08 15:15:51,2026-07-08 19:15:51,4
46,470,2026-05-25,2026-05-25 07:10:51,2026-05-25 17:10:51,10
47,621,2026-01-01,2026-01-01 04:42:51,2026-01-01 08:42:51,4
48,118,2026-05-10,2026-05-10 14:47:51,2026-05-10 18:47:51,4
49,549,2026-06-11,2026-06-11 00:32:51,2026-06-11 06:32:51,6
50,399,2026-06-08,2026-06-08 15:46:51,2026-06-08 23:46:51,8
51,894,2025-11-04,2025-11-04 05:25:51,2025-11-04 11:25:51,6
52,439,2026-06-11,2026-06-11 07:41:51,2026-06-11 17:41:51,10
53,810,2026-03-31,2026-03-31 00:35:51,2026-03-31 08:35:51,8
54,694,2026-04-16,2026-04-16 09:55:51,2026-04-16 21:55:51,12
55,792,2026-01-17,2026-01-17 08:41:51,2026-01-17 14:41:51,6
56,879,2025-12-18,2025-12-18 13:48:51,2025-12-18 19:48:51,6
57,509,2025-11-16,2025-11-16 05:08:51,2025-11-16 15:08:51,10
58,783,2025-12-29,2025-12-29 11:31:51,2025-12-29 15:31:51,4
